Player,Salary,Season
Rondae Hollis-Jefferson,"$1,455,720 ",2017-18
Rondae Hollis-Jefferson,"$2,470,356 ",2018-19
Rondae Hollis-Jefferson,"$2,500,000 ",2019-20
Rondae Hollis-Jefferson,"$502,957 ",2020-21
Ron Baker,"$4,328,000 ",2017-18
Ron Baker,"$4,697,823 ",2018-19
Romeo Langford,"$3,458,400 ",2019-20
Romeo Langford,"$3,631,200 ",2020-21
Rodney Purvis,"$165,887 ",2017-18
Rodney McGruder,"$1,312,611 ",2017-18
Rodney McGruder,"$1,544,951 ",2018-19
Rodney McGruder,"$4,807,693 ",2019-20
Rodney McGruder,"$5,192,307 ",2020-21
Rodney Hood,"$2,386,864 ",2017-18
Rodney Hood,"$3,472,887 ",2018-19
Rodney Hood,"$5,718,000 ",2019-20
Rodney Hood,"$10,047,450 ",2020-21
Rodions Kurucs,"$1,690,000 ",2018-19
Rodions Kurucs,"$1,699,236 ",2019-20
Rodions Kurucs,"$1,780,152 ",2020-21
Robin Lopez,"$13,788,500 ",2017-18
Robin Lopez,"$14,357,750 ",2018-19
Robin Lopez,"$4,767,000 ",2019-20
Robin Lopez,"$7,300,000 ",2020-21
Robert Woodard,"$1,500,000 ",2020-21
Robert Williams,"$1,656,600 ",2018-19
Robert Williams,"$1,937,520 ",2019-20
Robert Williams,"$2,029,920 ",2020-21
Robert Covington,"$16,698,103 ",2017-18
Robert Covington,"$10,464,092 ",2018-19
Robert Covington,"$11,301,219 ",2019-20
Robert Covington,"$12,138,345 ",2020-21
RJ Hunter,"$77,250 ",2017-18
RJ Hunter,"$77,250 ",2018-19
RJ Hampton,"$2,193,480 ",2020-21
RJ Barrett,"$7,839,960 ",2019-20
RJ Barrett,"$8,231,760 ",2020-21
Ricky Rubio,"$14,100,000 ",2017-18
Ricky Rubio,"$14,800,000 ",2018-19
Ricky Rubio,"$16,200,000 ",2019-20
Ricky Rubio,"$17,000,000 ",2020-21
Richaun Holmes,"$1,471,382 ",2017-18
Richaun Holmes,"$1,600,520 ",2018-19
Richaun Holmes,"$4,767,000 ",2019-20
Richaun Holmes,"$5,005,350 ",2020-21
Richard Solomon,"$47,370 ",2018-19
Richard Jefferson,"$4,828,652 ",2017-18
Reggie Perry,"$489,148 ",2020-21
Reggie Jackson,"$16,000,000 ",2017-18
Reggie Jackson,"$17,043,478 ",2018-19
Reggie Jackson,"$512,721 ",2019-20
Reggie Jackson,"$2,331,593 ",2020-21
Reggie Hearn,"$77,250 ",2017-18
Reggie Bullock,"$2,500,000 ",2017-18
Reggie Bullock,"$2,500,000 ",2018-19
Reggie Bullock,"$4,000,000 ",2019-20
Reggie Bullock,"$4,200,000 ",2020-21
Raymond Spalding,"$1,023,210 ",2018-19
Raymond Spalding,"$79,568 ",2019-20
Raymond Spalding,"$289,156 ",2020-21
Raymond Felton,"$2,328,652 ",2017-18
Raymond Felton,"$2,393,887 ",2018-19
Rayjon Tucker,"$578,573 ",2019-20
Rayjon Tucker,"$693,755 ",2020-21
Rawle Alkins,"$77,250 ",2018-19
Raul Neto,"$1,471,382 ",2017-18
Raul Neto,"$2,100,000 ",2018-19
